OrganRus,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Samples
ВИСОЧНЫЕ ВЕТВИ СРЕДНЕЙ МОЗГОВОЙ,1.75760000,0.00000000,1.67720000,0.00000000,1.75810000,0.00000000,1.86050000,0.00000000,1
ВНУТРЕННИЙ  МЫШЕЧНЫЙ  СЛОЙ,1.74500000,1.89800000,1.95400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3
ВНУТРЕННЯЯ  МЕМБРАНА,1.74270000,0.00000000,1.78010000,-0.00160000,1.73460000,0.00000000,1.78430000,0.00000000,4
ВНУТРЕННЯЯ ГРУДНАЯ АРТЕРИЯ,1.73040000,0.00000000,1.76280000,0.00000000,1.74920000,14.51730000,1.76560000,0.00000000,1
ВНУТРЕННЯЯ ОБОЛОЧКА (ЭНДОТЕЛИЙ),1.70870000,-0.00180000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81970000,1
ВНУТРЕННЯЯ ПОДВЗДОШНАЯ ВЕНА,1.71000000,1.12300000,1.81200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВНУТРЕННЯЯ СОННАЯ АРТЕРИЯ,1.70620000,0.01840000,0.95690000,-0.03430000,1.45200000,0.13320000,-0.08070000,-0.37520000,2
ВОРОТНАЯ ВЕНА,1.70000000,0.00000000,3.98830000,0.00000000,0.00000000,0.00000000,30.00000000,0.00000000,1
ВОСХОДЯЩИЙ ОТДЕЛ АОРТЫ,1.75400000,0.02400000,0.00000000,4.31300000,0.01510000,0.00830000,0.00810000,0.00000000,1
ВСТАВОЧНЫЙ ВЫВОДНОЙ ПРОТОК,1.84570000,1.90820000,1.97070000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЫВОДНОЙ  ПРОТОК  МЕРОКРИНОВОЙ  ПОТОВОЙ  ЖЕЛЕЗЫ,1.72070000,1.78320000,1.84570000,1.90820000,0.00000000,0.00000000,0.00000000,0.00000000,1
ВЫНОСЯЩАЯ КЛУБОЧКОВАЯ АРТЕРИОЛА,1.82230000,1.83790000,1.85350000,1.86910000,1.88480000,1.90040000,1.91600000,1.93160000,1
ВЫСОКОПРИЗМАТИЧЕСКИ Й  ЭПИТЕЛИЙ СЛИЗИСТОЙ  ОБОЛОЧКИ,1.75980000,1.82230000,1.97850000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГЛАЗНАЯ АРТЕРИЯ,1.77800000,1.53300000,1.66700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГЛУБОКАЯ АРТЕРИЯ ШЕИ,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,2
"ГЛУБОКИЕ АРТЕРИЯ И ВЕНЫ, ОГИБАЮЩИЕ ПОДВЗДОШНУЮ",1.75720000,-739.31730000,1.67170000,0.00000000,1.75760000,0.00000000,1.67720000,0.00000000,1
ГЛУБОКИЕ БЕДРЕННЫЕ АРТЕРИЯ И ВЕНА,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
ГОЛОВКА ПОДЖЕЛУДОЧНОЙ ЖЕЛЕЗЫ,1.63530000,2.21920000,-0.00910000,2.16510000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГОЛОВНАЯ ВЕНА,1.73240000,1.77150000,1.81050000,0.86430000,0.87210000,0.87990000,0.88770000,0.89550000,2
ГОЛОВЧАТАЯ КОСТЬ,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
ГОЛОСОВАЯ  МЫШЦА,1.76400000,1.32400000,1.87800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГОЛОСОВАЯ  СВЯЗКА,1.71350000,0.03670000,0.03890000,-0.06850000,0.89510000,0.26640000,-0.16140000,-0.75020000,1
ГОЛОСОВАЯ  ЩЕЛЬ,1.73040000,0.00000000,1.76280000,0.00000000,1.74920000,14.51730000,1.76560000,0.00000000,1
ГОРТАННАЯ ЧАСТЬ ГЛОТКИ,1.72070000,1.78320000,1.84570000,1.90820000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГОРТАНЬ,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
ГОЧНАЯ  АРТЕРИЯ,1.63100000,1.37600000,1.96700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГОЧНАЯ АРТЕРИЯ,1.63530000,2.21920000,-0.00910000,2.16510000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГОЧНАЯ ВЕНА,1.75400000,0.00000000,0.00000000,0.00000000,7.76610000,143.80680000,0.00000000,0.00000000,1
