arch,bulbs,prime_hits,time_s
small,17,1000,0.661402702331543
medium,54,0,0.661402702331543
large,1188,0,0.661402702331543

p,q,re,im
5,63,0.3034742207186744,0.029120508522966243
2,25,0.30419664127718266,0.029794855675353893
5,62,0.30493230549055045,0.030489916891852792
3,37,0.30543023569128613,0.030965187473489447
4,49,0.3060612099840634,0.031573085250632404
5,61,0.30644442013761997,0.03194537695784913
1,12,0.3080127018922193,0.03349364905389032
5,59,0.3096393231137405,0.03514212903642963
4,47,0.31005535083339875,0.03557083924429083
3,35,0.3107572311826834,0.036300755738768564
5,58,0.3113264779088471,0.03689891747700513
2,23,0.31219344284045625,0.037820670417122976
5,57,0.3130763648414412,0.038772897339340445
3,34,0.3136739789206725,0.03942525859991228
4,45,0.3144312613809436,0.04026112054181069
5,56,0.31489116483475255,0.0407738212820635
1,11,0.31677301316511897,0.042912409889169195
5,54,0.31872396419667903,0.045200462315334505
4,43,0.3192227288224,0.045797324492933084
3,32,0.32006394806000016,0.046815233381979404
5,53,0.3207459471965413,0.04765098104386789
2,21,0.3217841310663987,0.04894159187075997
5,52,0.3228407111861943,0.0502783126942242
3,31,0.32355540739243305,0.05119607451062605
4,41,0.32446046078123314,0.05237431811441992
5,51,0.32500975630819595,0.053098307086306196
6,61,0.32537857328069697,0.05358824190636652
1,10,0.32725424859373686,0.056128497072448186
6,59,0.32918283213057653,0.05882816967874929
5,49,0.3295749142762202,0.05938830198644285
4,39,0.3301670157226374,0.060241604211146355
3,29,0.3311644482205167,0.061699609467076866
5,48,0.3319719088699874,0.06289925793209325
2,19,0.333198882912997,0.06475628986000131
5,47,0.3344446550724484,0.06668527853886314
3,28,0.33528550774493626,0.06801292288391084
4,37,0.33634805966028813,0.0697211889108996
5,46,0.33699164208905147,0.07077295024244565
6,55,0.33742318865810483,0.07148558663133683
7,64,0.3377326461773364,0.07200032198101514
1,9,0.33961017714275643,0.07519186659021762
7,62,0.34152211697025125,0.07856916027908323
6,53,0.34184398008018974,0.07915101226471982
